show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
s7015;Movie;The Workshop;Laurent Cantet;Marina Foïs, Matthieu Lucci, Warda Rammach, Issam Talbi, Florian Beaujean, Mamadou Doumbia, Julien Souve, Mélissa Guilbert, Olivier Thouret, Lény Sellam;France;November 10, 2018;2017;TV-MA;114 min;Dramas, International Movies;In an old shipyard town in France, sociopolitical tensions beset a writing workshop where the instructor notices a student with a dark side.
s7594;Movie;Whispers;Maroun Baghdadi;Nadia Tueni, Ziad Rahbani;Lebanon, Canada, France;October 19, 2020;1980;TV-14;93 min;Documentaries, International Movies;With her home devastated by war, a Lebanese poet takes a cross-country road trip, looking for glimmers of hope through nostalgic memories and verse.
s4889;Movie;Pocoyo & Cars;NA;Stephen Fry, Alex Marty;NA;May 1, 2018;2015;TV-Y;19 min;Movies;Pocoyo gears up for exciting car races and learns that friends, teamwork and imagination are what matter the most.
s2474;Movie;Gone are the Days;Mark Landre Gould;Lance Henriksen, Tom Berenger, Meg Steedle, Danny Trejo;United States;January 1, 2019;2018;R;100 min;Independent Movies;As a notorious outlaw comes to grips with his past, he reconnects with his estranged daughter and gets one more shot to make things right.
s5463;TV Show;Secret of Success;NA;Jack Tan, Rain Shuaiyu, Rickman Chia, Orange Tan, Bernard Shen Jun, Kopi Lim Guo Wei, Dennis Gan;NA;May 8, 2019;2015;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Comedies;An aspiring actor uses a magical book to transport himself inside the movies he had always dreamed of starring in – but not without consequences.
s2884;TV Show;Hyperdrive;NA;Rutledge Wood, Mike Hill, Michael Bisping, Lindsay Czarniak;United States;August 21, 2019;2019;TV-PG;1 Season;Reality TV;Elite street racers from around the world test their limits in supercharged custom cars on the biggest, baddest automotive obstacle course ever built.
s7721;TV Show;YooHoo to the Rescue;NA;Kira Buckland, Ryan Bartley, Bryce Papenbrook, Cassandra Morris, Lucien Dodge, Kyle Hebert;South Korea;March 25, 2020;2020;TV-Y;3 Seasons;Kids' TV, Korean TV Shows;In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need.
s7304;TV Show;Ultimate Beastmaster;NA;Tiki Barber, Chris Distefano, Francesco Facchinetti, Bianca Balti, Vidyut Jammwal, Sarah-Jane Dias, BIn Gu, Qinyi Du, Paula Vázquez, Saúl Craviotto, Gilles Marini, Sandy Heribert, Terry Crews, Charissa Thompson, Yuji Kondo, Sayaka Akimoto, Luke Mockridge, Hans Sarpei, Kyung-seok Seo, Kyeong-rim Park, Luis Ernesto Franco, Inés Sainz, Rafinha Bastos, Anderson Silva, Sylvester Stallone;United States, Brazil, South Korea, Mexico, Japan, Germany;August 31, 2018;2018;TV-PG;3 Seasons;Reality TV;In this intense obstacle course series, elite athletes from the U.S. and other countries compete for cash prizes, individual glory and national pride.
s306;Movie;Adam Devine: Best Time of Our Lives;Jay Karas;Adam Devine;United States;June 18, 2019;2019;TV-MA;59 min;Stand-Up Comedy;Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his "Pitch Perfect" audition and more in a special from his hometown of Omaha.
s3048;Movie;Ip Man;Wilson Yip;Donnie Yen, Simon Yam, Louis Fan, Lam Ka Tung, Xing Yu, Wong You-nam, Chen Zhi Hui, Lynn Hung, Hiroyuki Ikeuchi;Hong Kong, China;January 15, 2016;2008;R;107 min;Action & Adventure, Dramas, International Movies;An occupying Japanese general challenges Chinese men to duels to prove the superiority of the Japanese, but Ip Man refuses to fight – at first.
s3954;Movie;Martial Arts of Shaolin;Chia-Liang Liu;Jet Li, Jianqiang Hu, Qiuyan Huang, Qingfu Pan, Yu Chenghui, Yu Hai, Jianwen Zhang;Hong Kong, China;August 16, 2018;1986;R;90 min;Action & Adventure, International Movies;In ancient China, Zhi Ming trains at the legendary Northern Shaolin temple to avenge the death of his father at the hands of a nefarious magistrate.
s5102;TV Show;Rapture;NA;Logic, Nas, Dave West, T.I., G-Eazy, 2 Chainz, Rapsody, Just Blaze, A Boogie Wit tha Hoodie;United States;March 30, 2018;2018;TV-MA;1 Season;Docuseries;Groundbreaking artists share their life stories in this vibrant documentary series that captures hip-hop's impact on global culture.
s7716;TV Show;Yoko;NA;Eileen Stevens, Alyson Leigh Rosenfeld, Sarah Natochenny, H.D. Quinn;NA;June 23, 2018;2016;TV-Y;1 Season;Kids' TV;Friends Mai, Oto and Vik's games at the park become magical adventures, thanks to Yoko, who can turn playgrounds into spaceships and camping sites.
s4812;TV Show;Pee-wee's Playhouse;NA;Paul Reubens;United States; December 18, 2014;1990;TV-PG;5 Seasons;Classic & Cult TV, Kids' TV, TV Comedies;Pee-wee Herman brings his stage show to the masses with this innovative live-action kids series that invites viewers into his quirky, childlike world.
s3815;TV Show;Lugar de Mulher;NA;NA;Brazil;November 28, 2019;2019;TV-MA;1 Season;International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies;Four comedians from Brazil riff on sexuality, politics, religion and motherhood – and set out to prove a woman's place is anywhere she wants it to be.
s754;Movie;Barfi!;Anurag Basu;Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz, Saurabh Shukla, Ashish Vidyarthi, Rupa Ganguly, Bholaraj Sapkota, Jishu Sengupta, Haradhan Bannerjee;India;November 1, 2018;2012;TV-14;144 min;Comedies, Dramas, International Movies;Years after rejecting Barfii, a hearing and speech impaired young man, for a more "appropriate" suitor, Shruti finds herself falling for him.
s3665;Movie;Little Miss Sumo;Matt Kay;Hiyori Kon;United Kingdom;October 28, 2019;2018;TV-G;20 min;Documentaries, International Movies, Sports Movies;In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japan’s national pastime.
s515;Movie;Angamaly Diaries;Lijo Jose Pellissery;Antony Varghese, Sarath Kumar, Tito Wilson, Reshma Rajan, Vineeth Vishwam, Kichu Tellus, Bitto Davis, Ullas Jose Chemban, Merin Jose Pottackal, Binny Rinky Benjamin, Amrutha Anna Reji;India;July 1, 2018;2017;TV-14;128 min;Action & Adventure, Comedies, Dramas;After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.
s6635;TV Show;The Magicians;NA;Jason Ralph, Arjun Gupta, Hale Appleman, Stella Maeve, Summer Bishil, Olivia Taylor Dudley, Jade Tailor, Rick Worthy, Mackenzie Astin, Kacey Rohl, Charles Mesure, Keegan Connor Tracy, Trevor Einhorn;United States, Canada;January 15, 2021;2020;TV-MA;5 Seasons;TV Dramas, TV Sci-Fi & Fantasy;When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real.
s1803;TV Show;Dolly Parton's Heartstrings;NA;Dolly Parton, Julianne Hough, Kimberly Williams-Paisley, Dallas Roberts, Melissa Leo, Andy Mientus, Katie Stevens, Michael J. Willett, Aidan Langford, Ray McKinnon, Delta Burke, Gerald McRaney, Ben Lawson, Brooke Elliott, Michele Weaver, Tim Reid, Sarah Shahi, Rochelle Aytes, Jessica Collins, Tammy Lynn Michaels, Robert Taylor, Holly Taylor, Shane Paul McGhie, Mary Lane Haskell, Camryn Manheim, Bellamy Young, Patricia Wettig, Timothy Busfield, Tom Brittney, Virginia Gardner, Colin O'Donoghue, Willa Fitzgerald, David Denman, Vanessa Rubio, Mac Davis, Kathleen Turner, Ginnifer Goodwin, Kyle Bornheimer, Tyler Crumley, Mary Donnelly Haskell, Ed Amatrudo;United States;November 22, 2019;2019;TV-14;1 Season;TV Dramas;Eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by Dolly Parton's iconic country music catalog.
s5522;Movie;Sex and the City: The Movie;Michael Patrick King;Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Candice Bergen, Jennifer Hudson, David Eigenberg, Evan Handler, Jason Lewis, Mario Cantone, Lynn Cohen;United States;January 1, 2021;2008;R;145 min;Comedies, Dramas, Romantic Movies;When Carrie's big step forward in her relationship goes awry, best friends Charlotte, Miranda and Samantha are there to help her pick up the pieces.
s7260;Movie;Tu Hai Mera Sunday;Milind Dhaimade;Barun Sobti, Shahana Goswami, Vishal Malhotra, Avinash Tiwary, Rasika Dugal, Maanvi Gagroo, Nakul Bhalla, Jay Upadhyay;India;March 1, 2018;2016;TV-14;125 min;Comedies, Independent Movies, International Movies;When their Sunday soccer game on the beach is canceled, five friends set out to find another place to play in the noisy, crowded city of Mumbai.
s6005;Movie;Tears of the Sun;Antoine Fuqua;Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie;United States;January 1, 2019;2003;R;121 min;Action & Adventure, Dramas;A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.
s4899;TV Show;Pokémon the Series;NA;Sarah Natochenny, Laurie Hymes, Jessica Paquet, Rosie Reyes, Alyson Leigh Rosenfeld, Marc Swint, Rodger Parsons;NA;April 1, 2020;2019;TV-Y7;3 Seasons;Anime Series, Kids' TV;Ash and his Pikachu travel to the Alola region with his mother and enroll in the Pokémon school, where they confront the nefarious Team Skull.
s5249;Movie;Rocky IV;Sylvester Stallone;Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Dolph Lundgren, Brigitte Nielsen, Tony Burton, Michael Pataki;United States;August 1, 2019;1985;PG;92 min;Dramas, Sports Movies;Rocky Balboa takes on the Cold War, coming out of retirement to battle a Soviet fighter who pulverized Rocky's friend and former rival, Apollo Creed.
s5100;Movie;Rangoon;Vishal Bhardwaj;Saif Ali Khan, Shahid Kapoor, Kangana Ranaut, Shriswara, Richard McCabe, Satoru Kawaguchi, Surendra Pal, Lin Laishram;India;May 29, 2017;2017;TV-14;153 min;Action & Adventure, Dramas, International Movies;During World War II, daredevil star Miss Julia entertains soldiers at the Indo-Burma border, where she's caught up in a web of love and deceit.
s1688;TV Show;Degrassi: Next Class;Stefan Brogren;Amanda Arcuri, Amir Bageria, Soma Bhatia, Jamie Bloch, Stefan Brogren, Chelsea Clark, Reiya Downs, Ana Golja, Nikki Gould, Ricardo Hoyos, Ehren Kassam, Andre Kim, Lyle Lettau, Spencer MacPherson, Eric Osborne, Dante Scott, Olivia Scriven, Sara Waisglass, Richard Walters;Canada;July 7, 2017;2017;TV-14;4 Seasons;International TV Shows, TV Dramas, Teen TV Shows;Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life.
s4437;Movie;Nazi Concentration Camps;George Stevens;NA;United States;March 31, 2017;1945;TV-MA;59 min;Classic Movies, Documentaries;Shocking footage shows Nazi concentration camps after liberation, including Buchenwald and Ohrdruf, where Gen. Eisenhower ordered local Nazis to tour.
s6386;TV Show;The Garfield Show;NA;Frank Welker, Wally Wingert, Gregg Berger;France, United States;November 1, 2020;2018;TV-Y;4 Seasons;Kids' TV, TV Comedies;Lazy, lasagna-loving fat cat Garfield lives life on his own terms, which includes teasing his geeky owner, Jon, and tormenting dimwitted dog Odie.
s4102;Movie;Milk;Gus Van Sant;Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce;United States;February 16, 2017;2008;R;128 min;Dramas, Independent Movies, LGBTQ Movies;Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.
s4343;Movie;My Octopus Teacher;Pippa Ehrlich, James Reed;NA;South Africa;September 7, 2020;2020;TV-G;86 min;Documentaries, International Movies;A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.
s6355;Movie;The First Temptation of Christ;Rodrigo Van Der Put;Gregorio Duvivier, Fábio Porchat, Antonio Tabet, Evelyn Castro, Rafael Portugal, Robson Nunes, João Vicente de Castro, Estevam Nabote, Thati Lopes, Karina Ramil, Sura Berditchevsky, Fábio de Luca;Brazil;December 3, 2019;2019;TV-MA;46 min;Comedies, International Movies;Jesus, who's hitting the big 3-0, brings a surprise guest to meet the family. A Christmas special so wrong, it must be from comedians Porta dos Fundos.
s7092;Movie;Tim Minchin And The Heritage Orchestra Live;Matt Askem;Tim Minchin, Jules Buckley;United Kingdom;December 31, 2018;2011;TV-MA;146 min;Music & Musicals, Stand-Up Comedy;Flanked by a full orchestra, Tim Minchin takes the Royal Albert Hall by storm with a wonderfully witty evening of satirical musical comedy.
s7401;TV Show;Velvet;Carlos Sedes;Paula Echevarría, Miguel Ángel Silvestre, Aitana Sánchez-Gijón, Manuela Velasco, Manuela Vellés, Marta Hazas, Javier Rey, Maxi Iglesias, Cecilia Freire, Adrián Lastra, Miriam Giovanelli, Natalia Millán, José Sacristán, Ingrid Rubio, Peter Vives, Llorenç González, Ángela Molina, Pastora Vega;Spain;March 4, 2020;2016;TV-14;4 Seasons;International TV Shows, Romantic TV Shows, Spanish-Language TV Shows;In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family.
s2371;Movie;Generation Iron 2;Vlad Yudin;NA;United States;October 1, 2017;2017;PG-13;107 min;Documentaries, Sports Movies;New-generation bodybuilding stars – including Rich Piana, Kai Greene and Calum von Moger – share their experiences competing in the demanding sport.
s2487;TV Show;Good Morning, Verônica;NA;Tainá Müller, Eduardo Moscovis, Camila Morgado, Antonio Grassi, Elisa Volpatto, César Mello, Sílvio Guindane, Alice Valverde, DJ Amorim, Adriano Garib, Johnnas Oliva, Marina Provenzzano, José Rubens Chachá, Julia Ianina, Sacha Bali, Aline Borges, Cassio Pandolfi, Pally Siqueira, Juliana Lohmann;Brazil;October 1, 2020;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Mysteries;While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.
s694;TV Show;Bad Guys;NA;Kim Sang-jung, Ma Dong-seok, Park Hae-Jin, Cho Dong-hyuk, Kang Ye-won, Kang Shin-il, Ji-a Min, Hwang Seung-eon;South Korea;August 8, 2019;2014;TV-MA;1 Season;Crime TV Shows, International TV Shows, Korean TV Shows;Reinstated to eradicate the worst crimes in the city, a detective requests the release of three convicts to enlist their help in catching the felons.
s5462;Movie;Secret Obsession;Peter Sullivan;Brenda Song, Mike Vogel, Dennis Haysbert, Ashley Scott, Paul Sloan, Daniel Booko;United States;July 18, 2019;2019;TV-14;98 min;Thrillers;When Jennifer wakes up with amnesia after a traumatic attack, her doting husband cares for her. But she soon realizes the danger is far from over.
s232;Movie;A Sort of Homecoming;Maria Burton;Laura Marano, Parker Mack, Katherine McNamara, Marcus Lyle Brown, Shayne Topp, Michelle Clunie, Kathleen Wilhoite;United States;August 1, 2017;2015;TV-PG;89 min;Dramas, Independent Movies;Ace news producer Amy is called back to her Louisiana hometown where memories of what used to be – and what might have been – come flooding back.
s3064;Movie;Isa Pa with Feelings;Prime Cruz;Maine Mendoza, Carlo Aquino, Lotlot De Leon, Cris Villanueva, Nikki Valdez, Vangie Labalan, Geleen Eugenio;Philippines;December 25, 2020;2019;TV-G;102 min;International Movies, Romantic Movies;When an aspiring architect falls for her Deaf neighbor, they develop a connection and set out to form their own love language despite their differences.
s752;Movie;Bareilly Ki Barfi;Ashwiny Iyer Tiwari;Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Seema Pahwa, Rohit Chaudhury, Swati Semwal;India;August 21, 2018;2017;TV-14;110 min;Comedies, Dramas, International Movies;When she falls in love with the author of a novel she adores, bohemian Bitti enlists the help of a local printer to find her new object of affection.
s7286;Movie;Two Catalonias;Álvaro Longoria, Gerardo Olivares;NA;Spain;September 28, 2018;2018;TV-MA;117 min;Documentaries, International Movies;Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.
s2544;TV Show;Grizzy et les Lemmings;NA;Pierre-Alain de Garrigues, Josselin Charier;France;December 12, 2020;2018;TV-Y;2 Seasons;Kids' TV, TV Comedies;Strong, whip-smart Grizzy rules a Canadian forest, where he has his paws full with a family of frolicsome lemmings.
s3215;TV Show;Jojo's World;NA;Tia Lee, In Deok Hwang, Yen-j, Jason Hsu, Andy Wu, Sharon Hsu;Taiwan;December 21, 2018;2017;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Comedies;Diagnosed with a condition that could make her infertile, a career woman must choose one of four bachelors to make a baby with before time runs out.
s6155;TV Show;The Bonfire of Destiny;NA;Audrey Fleurot, Julie de Bona, Camille Lou, Gilbert Melki, Josiane Balasko, Antoine Duléry, Florence Pernel, Théo Fernandez, Victor Meutelet, François-David Cardonnel, Stéphane Guillon, Aurélien Wiik, Gilles Cohen;France;December 26, 2019;2019;TV-MA;1 Season;International TV Shows, TV Dramas;After a devastating fire in 1897 Paris, three women find their lives upended by betrayals, deceptions and romantic turmoil. Inspired by real events.
s262;Movie;A.M.I.;Rusty Nixon;Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius;Canada;October 1, 2020;2019;TV-MA;77 min;Horror Movies;After losing her mother, a teenage girl bonds with her phone’s artificial intelligence app, a relationship that soon takes a dark and violent turn.
s5048;Movie;Raajneeti;Prakash Jha;Ajay Devgn, Nana Patekar, Ranbir Kapoor, Katrina Kaif, Arjun Rampal, Manoj Bajpayee, Sarah Thompson, Naseeruddin Shah;India;August 2, 2018;2010;TV-14;162 min;Dramas, International Movies, Thrillers;When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path.
s1942;Movie;Ekşi Elmalar;Yılmaz Erdoğan;Yılmaz Erdoğan, Farah Zeynep Abdullah, Songül Öden, Şükran Ovalı, Devrim Yakut, Şükrü Özyıldız, Fatih Artman, Cezmi Baskın, Caner Cindoruk, Ersin Korkut;Turkey;April 29, 2020;2016;TV-PG;109 min;Dramas, International Movies;In an eastern Turkish town, suitors knock on the door of the mayor and father of three beautiful daughters who choose to follow their own paths.
s5255;Movie;Rogue Warfare;Mike Gunther;Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang;United States;March 28, 2020;2019;R;103 min;Action & Adventure;An elite international squad of uniquely skilled special forces is assembled to combat a rising underground terrorist threat in the Middle East.
s7665;TV Show;World at Your Feet;NA;Ha Yu, Tay Ping Hui, Jeanette Aw, Elvin Ng, Yvonne Lim, Zhang Zhenhuan, Vivian Lai, Ian Fang, Xu Bin;Singapore;July 1, 2017;2014;TV-14;1 Season;International TV Shows, TV Dramas;A group of struggling individuals are united by a love of soccer. At the center is Renxin, a reclusive widower and former coach who needs new hope.
s3547;Movie;Latte and the Magic Waterstone;Regina Welker, Nina Wels;Ashley Bornancin, Carter Hastings;Germany;July 31, 2020;2020;TV-Y;83 min;Children & Family Movies, Comedies;When a greedy bear steals a magic stone to keep the forest’s water for himself, a brave hedgehog and a timid squirrel must work together to retrieve it.
s1658;Movie;Deadly Switch;Svetlana Cvetko;Teri Polo, Dylan Walsh, Danika Yarosh, Hayley McLaughlin, Bryce Durfee, Matt Passmore, Heather Mazur, Ashlyn Pearce;United States;January 15, 2019;2019;TV-PG;86 min;Independent Movies, Thrillers;In this indie thriller, a foreign exchange student moves in with her roommate's family who grieves over the daughter they would do anything to get back.
s2575;Movie;Hadi İnşallah;Ali Taner Baltacı;Büşra Pekin, Murat Boz, Cezmi Baskın, Şinasi Yurtsever, İdil Dizdar, Hülya Gülsen Irmak, Canan Özer, Şenay Bozoklar, Emrah Kaman, Müjde Uzman;Turkey;April 4, 2018;2014;TV-14;95 min;Comedies, International Movies, Romantic Movies;A young woman recovering poorly from a bad romance gets a new lease on life after encountering a handsome man during a job interview.
s5408;Movie;Saturday Church;Damon Cardasis;Luka Kain, Regina Taylor, Margot Bingham, Marquis Rodriguez, Mj Rodriguez, Indya Moore, Alexia Garcia, Kate Bornstein, Peter Kim, Jaylin Fletcher;United States;October 6, 2020;2017;TV-MA;83 min;Dramas, LGBTQ Movies;A teen struggling with gender identity and family tensions seeks hope and support in New York City's underground LGBTQ ballroom community.
s7714;Movie;Yo-Kai Watch: The Movie;Mark Risley;Johnny Yong Bosch, Joey D'Auria, Alicyn Packard, Melissa Hutchison, Paul Greenberg, Brent Pendergrass;Japan, United States;December 1, 2016;2016;TV-Y7;96 min;Anime Features, Children & Family Movies;Nate's special Yo-Kai Watch is missing. He travels back in time to meet the watch's inventor, his grandfather. Together, they must restore history!
s3565;TV Show;Learning Time with Timmy;NA;Saskia Portway;United Kingdom;May 15, 2020;2018;TV-Y;1 Season;British TV Shows, Kids' TV;Colorful characters and edutaining activities help make learning English fun in this series geared toward youngsters.
s1132;Movie;Bugs;Andreas Johnsen;NA;Netherlands, Denmark, France, Germany;February 20, 2018;2016;TV-G;73 min;Documentaries, International Movies;A willing team of chefs and researchers goes on a gastronomic adventure around the globe to weigh the benefits of using bugs as a future food source.
s4222;Movie;Moon;Duncan Jones;Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw, Adrienne Shaw, Kaya Scodelario, Benedict Wong, Matt Berry, Malcolm Stewart, Robin Chalk;United Kingdom, United States;January 1, 2020;2009;R;97 min;Dramas, Independent Movies, Sci-Fi & Fantasy;As he nears the end of a lonely three-year stint on the moon base Sarang, astronaut Sam Bell begins to hear and see strange things.
s7126;Movie;Todd Glass: Stand-Up Special;Jay Chapman;Todd Glass;United States;December 31, 2018;2012;TV-MA;46 min;Stand-Up Comedy;Standup comedian Todd Glass gets right down to it, with sly observations on accepting directions, denying compliments and being afraid of the dark.
s3108;Movie;Jada;Kumaran;Kathir, Kishore Kumar G., Roshini, Yogi Babu, Kishore;India;February 7, 2020;2019;TV-14;124 min;Dramas, International Movies, Sports Movies;Wishing to settle an old score, a promising soccer player defies his coach’s wishes and leads his team to participate in a violent form of the sport.
s1722;Movie;Detention Letter;Mohamed Samy;Mohamed Ramadan, Dina El-Sherbiny, Eyad Nassar, Sayed Rajab, Walid Fawaz, Eman El-Assy;Egypt;August 5, 2019;2017;TV-14;99 min;Action & Adventure, International Movies;A man begins to regret his choices when his brother decides to join him as a member of the same terrorist organization.
s3782;Movie;Love You... Love You Not;Sridhar Jetty;Chelsea Islan, Hamish Daud, Miller Khan, Kemal Pahlevi, R.R. Melati Pinaring, Fico Fachriza, Reynold Hamzah, Rizka Dwi Septiana, Arkanda Saezario Wicaksono;Indonesia;January 5, 2019;2015;TV-14;115 min;Comedies, International Movies, Romantic Movies;A love triangle gets complicated when a female English tutor unknowingly gets between a hot-tempered guy and his off-to-the-United States girlfriend.
s4666;Movie;Operações Especiais;Tomas Portella;Cleo Pires, Marcos Caruso, Thiago Martins, Fabrício Boliveira, Fabiula Nascimento, Antonio Pedro Tabet, Fábio Lago, Analú Prestes, Gillray Coutinho, Augusto Madeira;Brazil;February 25, 2017;2015;TV-MA;99 min;Action & Adventure, International Movies;In a crime-plagued area of Rio de Janeiro, a team of honest cops, including a determined rookie, fights corruption and mistrust on all sides.
s4533;Movie;NOVA: Killer Hurricanes;Oliver Twinch;Craig Sechler;United States;July 1, 2019;2017;TV-PG;52 min;Documentaries;Scientists research the world’s deadliest hurricane, trying to understand what this 18th-century storm could tell us about our own future.
s537;Movie;Ankhon Dekhi;Rajat Kapoor;Sanjay Mishra, Seema Pahwa, Rajat Kapoor, Taranjit Kaur, Maya Sarao, Chandrachoor Rai, Namit Das, Brijendra Kala, Alka Chawla, Manu Rishi Chadha;India;September 28, 2020;2013;TV-PG;104 min;Dramas, Independent Movies, International Movies;After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.
s421;Movie;All the Freckles in the World;Yibrán Asuad;Hánssel Casillas, Loreto Peralta, Andrea Sutton, Luis De La Rosa, Alejandro Flores, Anajosé Aldrete, Daniel Haddad, Montserrat Marañón, Juan Carlos Viana Prieto, Hernán Del Riego;Mexico;January 3, 2020;2020;TV-14;90 min;Comedies, International Movies, Romantic Movies;Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.
s4514;TV Show;Northern Rescue;NA;William Baldwin, Kathleen Robertson, Spencer MacPherson, Taylor Thorne, Amalia Williamson, Michelle Nolden, Peter MacNeill, Natalie Lisinska;Canada;March 1, 2019;2019;TV-14;1 Season;TV Dramas;After the sudden death of his wife, search and rescue commander John West relocates with his three kids to his rural hometown of Turtle Island Bay.
s4822;TV Show;Penny Dreadful;NA;Josh Hartnett, Eva Green, Timothy Dalton, Reeve Carney, Rory Kinnear, Billie Piper, Danny Sapani, Harry Treadaway;Ireland, United Kingdom, United States;September 17, 2016;2016;TV-MA;3 Seasons;TV Dramas, TV Horror, TV Mysteries;The classic tales of Dracula, Frankenstein, Dorian Gray and more are woven together in this horror series set on the dark streets of Victorian London.
s3759;Movie;Love Is a Story;Cristina Jacob;Raluca Aprodu, Dragos Bucur, Ducu Darie;Romania;June 1, 2019;2015;TV-MA;105 min;International Movies, Music & Musicals, Romantic Movies;Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime.
s1011;TV Show;Bo on the Go!;NA;Catherine O'Connor, Andrew Sabiston, Jim Fowler;Canada;March 21, 2019;2007;TV-Y;1 Season;Kids' TV;Staying at home doesn't mean sitting still for energetic Bo and her little dragon friend Dezzy, who embark on amazing adventures through movement.
s5360;Movie;Sam Kinison: Live in Vegas;Walter C. Miller;Sam Kinison;United States;December 31, 2018;1991;TV-MA;71 min;Stand-Up Comedy;Standup legend Sam Kinison is at his screaming best as he storms the stage in Sin City to get a few things off his chest.
s6683;Movie;The Monster;Bryan Bertino;Zoe Kazan, Ella Ballentine, Aaron Douglas, Christine Ebadi, Marc Hickox, Scott Speedman, Chris Webb;United States, Canada;January 9, 2019;2016;R;91 min;Horror Movies, Independent Movies;A troubled mother-daughter relationship faces the ultimate test when the duo’s broken-down car leaves them trapped within reach of a vicious creature.
s4;Movie;9;Shane Acker;Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane;United States;November 16, 2017;2009;PG-13;80 min;Action & Adventure, Independent Movies, Sci-Fi & Fantasy;In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.
s3090;Movie;최강전사 미니특공대 : 영웅의 탄생;Young Jun Lee;Um Sang-hyun, Yang Jeong-hwa, Jeon Tae-yeol, Shin Yong-woo, Lee So-young, So-yeon;NA;September 1, 2018;2018;TV-Y7;68 min;Children & Family Movies;Miniforce, a special task force of elite rangers, takes on the Lizard Army to save Earth before it’s too late, in this prequel to the TV series.
s3269;Movie;Küçük Esnaf;Bedran Güzel;İbrahim Büyükak, Zeynep Koçak, Gupse Özay, Cengiz Bozkurt;Turkey;April 28, 2020;2016;TV-MA;100 min;Comedies, International Movies;As an honest locksmith scrambles to pay his late father's hefty debt to the mafia, he crosses paths with a woman in similar trouble and falls for her.
s3191;Movie;Jo Koy: Live from Seattle;Shannon Hartman;Jo Koy;United States;March 28, 2017;2017;TV-MA;63 min;Stand-Up Comedy;Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it.
