7787 shows imported
NA ------
 s4868  |     TV Show  |                                                                     Pioneers: First Women Filmmakers*  |                  1925  |            TV-14  |                1 season(s)
Spencer Williams ------
 s4867  |     TV Show  |                                                                   Pioneers of African-American Cinema  |                  1946  |            TV-14  |                1 season(s)
Richard E. Norman ------
 s4867  |     TV Show  |                                                                   Pioneers of African-American Cinema  |                  1946  |            TV-14  |                1 season(s)
Richard Maurice ------
 s4867  |     TV Show  |                                                                   Pioneers of African-American Cinema  |                  1946  |            TV-14  |                1 season(s)
John Sturges ------
 s7073  |       Movie  |                                                                                           Thunderbolt  |                  1947  |            TV-PG  |               42 min.
Youssef Chahine ------
 s6142  |       Movie  |                                                                                       The Blazing Sun  |                  1954  |            TV-14  |              116 min.
 s1621  |       Movie  |                                                                                           Dark Waters  |                  1956  |            TV-14  |              104 min.
 s1170  |       Movie  |                                                                                         Cairo Station  |                  1958  |            TV-14  |               73 min.
 s5352  |       Movie  |                                                                                               Saladin  |                  1963  |            TV-MA  |              194 min.
 s6545  |       Movie  |                                                                                              The Land  |                  1970  |            TV-MA  |              130 min.
 s5177  |       Movie  |                                                                            Return of the Prodigal Son  |                  1976  |            TV-MA  |              124 min.
  s382  |       Movie  |                                                                                   Alexandria ... Why?  |                  1979  |            TV-MA  |              131 min.
  s491  |       Movie  |                                                                                     An Egyptian Story  |                  1982  |            TV-MA  |              129 min.
  s383  |       Movie  |                                                                         Alexandria: Again and Forever  |                  1989  |            TV-MA  |              109 min.
 s6328  |       Movie  |                                                                                          The Emigrant  |                  1994  |            TV-14  |              130 min.
 s1720  |       Movie  |                                                                                               Destiny  |                  1997  |            TV-14  |              136 min.
 s6729  |       Movie  |                                                                                             The Other  |                  1999  |            TV-MA  |              106 min.
Michael Curtiz ------
 s7596  |       Movie  |                                                                                       White Christmas  |                  1954  |             TV-G  |              120 min.
Nicholas Ray ------
 s5123  |       Movie  |                                                                                 Rebel Without a Cause  |                  1955  |            PG-13  |              111 min.
Dino Risi ------
 s5426  |       Movie  |                                                                                   Scandal in Sorrento  |                  1955  |            TV-PG  |               93 min.
 s6869  |       Movie  |                                                                                     The Sign of Venus  |                  1955  |            TV-14  |               97 min.
Fred M. Wilcox ------
 s2234  |       Movie  |                                                                                      Forbidden Planet  |                  1956  |                G  |               98 min.
Richard Brooks ------
 s1242  |       Movie  |                                                                                 Cat on a Hot Tin Roof  |                  1958  |               NR  |              108 min.
Vincente Minnelli ------
 s2411  |       Movie  |                                                                                                  Gigi  |                  1958  |                G  |              115 min.
Charles Walters ------
 s2411  |       Movie  |                                                                                                  Gigi  |                  1958  |                G  |              115 min.
Naresh Saigal ------
 s7303  |       Movie  |                                                                                                 Ujala  |                  1959  |            TV-14  |              143 min.
Daniel Mann ------
 s1153  |       Movie  |                                                                                         Butterfield 8  |                  1960  |            TV-14  |              108 min.
 s4883  |       Movie  |                                                                                      Playing for Time  |                  1980  |            TV-14  |              149 min.
Radhu Karmakar ------
 s3188  |       Movie  |                                                                          Jis Desh Men Ganga Behti Hai  |                  1960  |            TV-14  |              181 min.
Lewis Milestone ------
 s4564  |       Movie  |                                                                                        Ocean's Eleven  |                  1960  |            TV-PG  |              127 min.
 s4301  |       Movie  |                                                                                  Mutiny on the Bounty  |                  1962  |            TV-PG  |              185 min.
Shakti Samanta ------
 s5625  |       Movie  |                                                                                             Singapore  |                  1960  |            TV-PG  |              158 min.
 s6420  |       Movie  |                                                                                     The Great Gambler  |                  1979  |            TV-14  |              161 min.
Stanley Kubrick ------
 s3708  |       Movie  |                                                                                                Lolita  |                  1962  |                R  |              153 min.
  s166  |       Movie  |                                                                                    A Clockwork Orange  |                  1971  |                R  |              137 min.
Carol Reed ------
 s4301  |       Movie  |                                                                                  Mutiny on the Bounty  |                  1962  |            TV-PG  |              185 min.
Lekh Tandon ------
 s4982  |       Movie  |                                                                                             Professor  |                  1962  |            TV-PG  |              163 min.
  s481  |       Movie  |                                                                                              Amrapali  |                  1966  |            TV-PG  |              116 min.
 s4971  |       Movie  |                                                                                                Prince  |                  1969  |            TV-PG  |              152 min.
Raj Kapoor ------
 s5377  |       Movie  |                                                                                                Sangam  |                  1964  |            TV-14  |              228 min.
 s1017  |       Movie  |                                                                                                 Bobby  |                  1973  |            TV-14  |              168 min.
 s5090  |       Movie  |                                                                                  Ram Teri Ganga Maili  |                  1985  |            TV-14  |              178 min.
David Lean ------
 s1794  |       Movie  |                                                                                        Doctor Zhivago  |                  1965  |            PG-13  |              200 min.
Norman Jewison ------
 s6222  |       Movie  |                                                                                    The Cincinnati Kid  |                  1965  |            TV-14  |              103 min.
 s2153  |       Movie  |                                                                                   Fiddler on the Roof  |                  1971  |                G  |              181 min.
Arthur Penn ------
 s1042  |       Movie  |                                                                                      Bonnie and Clyde  |                  1967  |                R  |              111 min.
Stuart Rosenberg ------
 s1498  |       Movie  |                                                                                        Cool Hand Luke  |                  1967  |            TV-14  |              127 min.
Stanisław Różewicz ------
 s7539  |       Movie  |                                                                                  Westerplatte Resists  |                  1967  |            TV-MA  |               93 min.
 s6627  |       Movie  |                                                                                              The lynx  |                  1982  |            TV-14  |               82 min.
Martin Scorsese ------
 s7610  |       Movie  |                                                                       Who's That Knocking at My Door?  |                  1967  |                R  |               90 min.
 s4009  |       Movie  |                                                                                          Mean Streets  |                  1973  |                R  |              112 min.
  s393  |       Movie  |                                                                       Alice Doesn't Live Here Anymore  |                  1974  |               PG  |              112 min.
 s5995  |       Movie  |                                                                                           Taxi Driver  |                  1976  |                R  |              114 min.
 s5064  |       Movie  |                                                                                           Raging Bull  |                  1980  |                R  |              129 min.
 s2494  |       Movie  |                                                                                            GoodFellas  |                  1990  |                R  |              145 min.
 s2352  |       Movie  |                                                                                     Gangs of New York  |                  2002  |                R  |              167 min.
 s4485  |       Movie  |                                                                          No Direction Home: Bob Dylan  |                  2005  |            TV-MA  |              208 min.
 s6289  |       Movie  |                                                                                          The Departed  |                  2006  |                R  |              151 min.
 s2858  |       Movie  |                                                                                                  Hugo  |                  2011  |               PG  |              127 min.
 s5261  |       Movie  |                                           Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese  |                  2019  |            TV-MA  |              142 min.
 s6508  |       Movie  |                                                                                          The Irishman  |                  2019  |                R  |              209 min.
Ken Hughes ------
 s1345  |       Movie  |                                                                               Chitty Chitty Bang Bang  |                  1968  |                G  |              146 min.
Sergio Leone ------
 s4636  |       Movie  |                                                                          Once Upon a Time in the West  |                  1968  |            PG-13  |              166 min.
Roman Polanski ------
 s5286  |       Movie  |                                                                                       Rosemary's Baby  |                  1968  |                R  |              137 min.
Frank Simon ------
 s6794  |       Movie  |                                                                                             The Queen  |                  1968  |            TV-MA  |               66 min.
Henry Hathaway ------
 s7243  |       Movie  |                                                                                             True Grit  |                  1969  |                G  |              128 min.
Marek Piwowski ------
 s6256  |       Movie  |                                                                                            The Cruise  |                  1970  |            TV-PG  |               66 min.
K. Ramanlal ------
 s1971  |       Movie  |                                                                                                 Elaan  |                  1971  |            TV-14  |              143 min.
Sushil Majumdar ------
 s3526  |       Movie  |                                                                                           Lal Patthar  |                  1971  |            TV-14  |              153 min.
Mel Stuart ------
 s7629  |       Movie  |                                                                   Willy Wonka & the Chocolate Factory  |                  1971  |                G  |              100 min.
Hrishikesh Mukherjee ------
  s771  |       Movie  |                                                                                              Bawarchi  |                  1972  |            TV-PG  |              125 min.
 s1386  |       Movie  |                                                                                         Chupke Chupke  |                  1975  |            TV-PG  |              127 min.
 s2464  |       Movie  |                                                                                              Gol Maal  |                  1979  |            TV-PG  |              137 min.
 s3362  |       Movie  |                                                                                            Khubsoorat  |                  1980  |            TV-PG  |              120 min.
Gulzar ------
 s3443  |       Movie  |                                                                                               Koshish  |                  1972  |            TV-14  |              115 min.
Gordon Parks ------
 s5908  |       Movie  |                                                                                              Superfly  |                  1972  |                R  |               91 min.
Charles A. Nichols ------
 s1284  |       Movie  |                                                                                       Charlotte's Web  |                  1973  |                G  |               94 min.
Iwao Takamoto ------
 s1284  |       Movie  |                                                                                       Charlotte's Web  |                  1973  |                G  |               94 min.
Jack Starrett ------
 s1415  |       Movie  |                                                                                       Cleopatra Jones  |                  1973  |               PG  |               89 min.
Robert Clouse ------
 s2014  |       Movie  |                                                                                      Enter the Dragon  |                  1973  |                R  |              103 min.
Janusz Majewski ------
 s3132  |       Movie  |                                                                                 Jealousy and medicine  |                  1973  |            TV-MA  |               97 min.
 s2828  |       Movie  |                                                                                         Hotel Pacific  |                  1975  |            TV-MA  |               96 min.
Joe Boyd ------
 s3177  |       Movie  |                                                                                          Jimi Hendrix  |                  1973  |                R  |              102 min.
Mohammed Hussain ------
 s3359  |       Movie  |                                                                                           Khoon Khoon  |                  1973  |            TV-14  |              132 min.
Houssam El-Din Mustafa ------
 s6851  |       Movie  |                                                                                The School of Mischief  |                  1973  |            TV-14  |              253 min.
Mu Chu ------
 s7738  |       Movie  |                                                                                           Young Tiger  |                  1973  |               NR  |               81 min.
Walerian Borowczyk ------
 s2954  |       Movie  |                                                                                         Immoral Tales  |                  1974  |               UR  |              103 min.
Shammi Kapoor ------
 s3916  |       Movie  |                                                                                            Manoranjan  |                  1974  |            TV-14  |              162 min.
Basu Chatterjee ------
 s5082  |       Movie  |                                                                                           Rajnigandha  |                  1974  |            TV-PG  |              104 min.
 s5934  |       Movie  |                                                                                                 Swami  |                  1977  |            TV-PG  |              123 min.
Robert Aldrich ------
 s6614  |       Movie  |                                                                                      The Longest Yard  |                  1974  |                R  |              121 min.
Tobe Hooper ------
 s6924  |       Movie  |                                                                           The Texas Chainsaw Massacre  |                  1974  |                R  |               83 min.
Maroun Baghdadi ------
  s823  |       Movie  |                                                                                      Beirut Oh Beirut  |                  1975  |            TV-14  |              106 min.
 s7594  |       Movie  |                                                                                              Whispers  |                  1980  |            TV-14  |               93 min.
 s6606  |       Movie  |                                                                                       The Little Wars  |                  1982  |            TV-14  |              108 min.
 s4702  |       Movie  |                                                                                           Out of Life  |                  1991  |            TV-MA  |               94 min.
Terry Gilliam ------
 s4208  |       Movie  |                                                                       Monty Python and the Holy Grail  |                  1975  |               PG  |               92 min.
 s2136  |       Movie  |                                                                        Fear and Loathing in Las Vegas  |                  1998  |                R  |              118 min.
 s6184  |       Movie  |                                                                                    The Brothers Grimm  |                  2005  |            PG-13  |              119 min.
 s6480  |       Movie  |                                                                   The Imaginarium of Doctor Parnassus  |                  2009  |            PG-13  |              123 min.
Terry Jones ------
 s4208  |       Movie  |                                                                       Monty Python and the Holy Grail  |                  1975  |               PG  |               92 min.
 s4219  |       Movie  |                                                                          Monty Python's Life of Brian  |                  1979  |                R  |               94 min.
A. Salaam ------
 s5351  |       Movie  |                                                                                             Salaakhen  |                  1975  |            TV-14  |              134 min.
Meng Hua Ho ------
 s6364  |       Movie  |                                                                                 The Flying Guillotine  |                  1975  |            TV-MA  |              101 min.
Brian De Palma ------
 s1227  |       Movie  |                                                                                                Carrie  |                  1976  |                R  |               98 min.
 s1807  |       Movie  |                                                                                                Domino  |                  2019  |                R  |               89 min.
Prakash Mehra ------
 s2704  |       Movie  |                                                                                            Hera Pheri  |                  1976  |            TV-14  |              156 min.
 s4396  |       Movie  |                                                                                          Namak Halaal  |                  1982  |            TV-14  |              171 min.
 s4285  |       Movie  |                                                                                    Muqaddar ka Faisla  |                  1987  |            TV-14  |              172 min.
Michael Anderson ------
 s3705  |       Movie  |                                                                                           Logan's Run  |                  1976  |               PG  |              118 min.
John G. Avildsen ------
 s5245  |       Movie  |                                                                                                 Rocky  |                  1976  |               PG  |              120 min.
 s5250  |       Movie  |                                                                                               Rocky V  |                  1990  |            PG-13  |              104 min.
Sam O'Steen ------
 s5739  |       Movie  |                                                                                               Sparkle  |                  1976  |               PG  |               98 min.
Muhammad Fadl ------
 s7009  |       Movie  |                                                                   The Witness Who Didn't See Anything  |                  1976  |            TV-PG  |              157 min.
Hany Motawie ------
 s7009  |       Movie  |                                                                   The Witness Who Didn't See Anything  |                  1976  |            TV-PG  |              157 min.
Richard Attenborough ------
  s154  |       Movie  |                                                                                      A Bridge Too Far  |                  1977  |               PG  |              176 min.
Manmohan Desai ------
  s447  |       Movie  |                                                                                    Amar Akbar Anthony  |                  1977  |            TV-14  |              172 min.
Joe Camp ------
 s2229  |       Movie  |                                                                                 For the Love of Benji  |                  1977  |                G  |               84 min.
  s837  |       Movie  |                                                                      Benji's Very Own Christmas Story  |                  1978  |             TV-G  |               25 min.
  s836  |       Movie  |                                                                                  Benji: Off the Leash  |                  2004  |               PG  |              100 min.
Joachim Fest ------
 s2758  |       Movie  |                                                                                     Hitler - A Career  |                  1977  |            TV-MA  |              150 min.
Christian Herrendoerfer ------
 s2758  |       Movie  |                                                                                     Hitler - A Career  |                  1977  |            TV-MA  |              150 min.
Elliot Silverstein ------
 s6199  |       Movie  |                                                                                               The Car  |                  1977  |               PG  |               96 min.
Alo Sarkar ------
  s718  |       Movie  |                                                                                                Bandie  |                  1978  |            TV-PG  |              141 min.
Kang Cheng ------
 s2213  |       Movie  |                                                                                   Flying Guillotine 2  |                  1978  |            TV-MA  |               88 min.
Shan Hua ------
 s2213  |       Movie  |                                                                                   Flying Guillotine 2  |                  1978  |            TV-MA  |               88 min.
Randal Kleiser ------
 s2523  |       Movie  |                                                                                                Grease  |                  1978  |               PG  |              110 min.
Cheh Chang ------
 s6358  |       Movie  |                                                                                       The Five Venoms  |                  1978  |                R  |               97 min.
 s5948  |       Movie  |                                                               Sword Masters: Two Champions of Shaolin  |                  1980  |                R  |              101 min.
 s2198  |       Movie  |                                                                                  Five Elements Ninjas  |                  1982  |                R  |              104 min.
Krzysztof Zanussi ------
 s6894  |       Movie  |                                                                                            The spiral  |                  1978  |            TV-MA  |               84 min.
Hayao Miyazaki ------
 s3824  |       Movie  |                                              Lupin the 3rd: The Castle of Cagliostro: Special Edition  |                  1979  |            PG-13  |              100 min.
George Miller ------
 s3838  |       Movie  |                                                                                               Mad Max  |                  1979  |                R  |               93 min.
Samir Al Asfory ------
 s4491  |       Movie  |                                                                                        No Longer kids  |                  1979  |            TV-14  |              237 min.
Jeff Margolis ------
 s5201  |       Movie  |                                                                        Richard Pryor: Live in Concert  |                  1979  |            TV-MA  |               79 min.
Sylvester Stallone ------
 s5247  |       Movie  |                                                                                              Rocky II  |                  1979  |               PG  |              119 min.
 s5248  |       Movie  |                                                                                             Rocky III  |                  1982  |               PG  |              100 min.
 s5249  |       Movie  |                                                                                              Rocky IV  |                  1985  |               PG  |               92 min.
Latif Faiziyev ------
  s392  |       Movie  |                                                                                   Alibaba Aur 40 Chor  |                  1980  |            TV-14  |              147 min.
 s5694  |       Movie  |                                                                                         Sohni Mahiwal  |                  1984  |            TV-14  |              160 min.
 s5565  |       Movie  |                                                                                               Shikari  |                  1991  |            TV-14  |              163 min.
Umesh Mehra ------
  s392  |       Movie  |                                                                                   Alibaba Aur 40 Chor  |                  1980  |            TV-14  |              147 min.
 s5694  |       Movie  |                                                                                         Sohni Mahiwal  |                  1984  |            TV-14  |              160 min.
 s3092  |       Movie  |                                                                                                  Jaal  |                  1986  |            TV-14  |              162 min.
 s4275  |       Movie  |                                                                                                Mujrim  |                  1989  |            TV-14  |              163 min.
 s5565  |       Movie  |                                                                                               Shikari  |                  1991  |            TV-14  |              163 min.
  s274  |       Movie  |                                                                                          Aashik Awara  |                  1993  |            TV-14  |              154 min.
 s7695  |       Movie  |                                                                                           Yaar Gaddar  |                  1994  |            TV-14  |              148 min.
 s5023  |       Movie  |                                                                                                  Qila  |                  1998  |            TV-14  |              161 min.
Raj Khosla ------
 s2291  |       Movie  |                                                                                            Friendship  |                  1980  |            TV-14  |              161 min.
Joseph Sargent ------
 s4883  |       Movie  |                                                                                      Playing for Time  |                  1980  |            TV-14  |              149 min.
Robert Altman ------
 s4910  |       Movie  |                                                                                                Popeye  |                  1980  |               PG  |              114 min.
 s2503  |       Movie  |                                                                                          Gosford Park  |                  2001  |                R  |              137 min.
Chia-Liang Liu ------
 s5178  |       Movie  |                                                                            Return To The 36th Chamber  |                  1980  |                R  |               97 min.
 s3575  |       Movie  |                                                                            Legendary Weapons of China  |                  1982  |            TV-14  |              101 min.
 s1776  |       Movie  |                                                                         Disciples Of The 36th Chamber  |                  1985  |            TV-14  |               90 min.
 s3954  |       Movie  |                                                                               Martial Arts of Shaolin  |                  1986  |                R  |               90 min.
Almunsif Alsuwaisi ------
 s1157  |       Movie  |                                                                                        Bye Bye London  |                  1981  |            TV-14  |              177 min.
Steven Spielberg ------
 s2993  |       Movie  |                                                         Indiana Jones and the Raiders of the Lost Ark  |                  1981  |               PG  |              116 min.
 s2994  |       Movie  |                                                                  Indiana Jones and the Temple of Doom  |                  1984  |               PG  |              119 min.
 s2992  |       Movie  |                                                                    Indiana Jones and the Last Crusade  |                  1989  |            PG-13  |              127 min.
 s2800  |       Movie  |                                                                                                  Hook  |                  1991  |               PG  |              142 min.
 s5431  |       Movie  |                                                                                      Schindler's List  |                  1993  |                R  |              195 min.
 s1243  |       Movie  |                                                                                   Catch Me If You Can  |                  2002  |            PG-13  |              141 min.
 s2991  |       Movie  |                                                    Indiana Jones and the Kingdom of the Crystal Skull  |                  2008  |            PG-13  |              123 min.
 s6070  |       Movie  |                                                                              The Adventures of Tintin  |                  2011  |               PG  |              107 min.
 s7479  |       Movie  |                                                                                             War Horse  |                  2011  |            PG-13  |              147 min.
 s3647  |       Movie  |                                                                                               Lincoln  |                  2012  |            PG-13  |              150 min.
Tinnu Anand ------
 s3277  |       Movie  |                                                                                                Kaalia  |                  1981  |            TV-14  |              173 min.
Li Pei-Chuan ------
 s3869  |       Movie  |                                                                                        Mahjong Heroes  |                  1981  |            TV-PG  |               92 min.
Ivan Reitman ------
 s5849  |       Movie  |                                                                                               Stripes  |                  1981  |                R  |              106 min.
 s2054  |       Movie  |                                                                                             Evolution  |                  2001  |            PG-13  |              102 min.
Sam Raimi ------
 s6338  |       Movie  |                                                                                         The Evil Dead  |                  1981  |            TV-MA  |               85 min.
 s5754  |       Movie  |                                                                                          Spider-Man 3  |                  2007  |            PG-13  |              139 min.
Hassan AbdulSalam ------
 s6643  |       Movie  |                                                                                   The Married Couples  |                  1981  |            TV-14  |              195 min.
John Duigan ------
 s7636  |       Movie  |                                                                                  Winter of Our Dreams  |                  1981  |               NR  |               86 min.
 s6743  |       Movie  |                                                                                    The Parole Officer  |                  2001  |                R  |               94 min.
Sagar Sarhadi ------
  s774  |       Movie  |                                                                                                Bazaar  |                  1982  |            TV-14  |              121 min.
B. Subhash ------
 s1778  |       Movie  |                                                                                          Disco Dancer  |                  1982  |            TV-14  |              134 min.
Sai Paranjape ------
 s3318  |       Movie  |                                                                                                 Katha  |                  1982  |            TV-PG  |              140 min.
Fouad El-Mohandes ------
 s3695  |       Movie  |                                                                                    Lock Your Girls In  |                  1982  |            TV-PG  |              233 min.
Terry Hughes ------
 s4214  |       Movie  |                                                              Monty Python: Live at The Hollywood Bowl  |                  1982  |                R  |               80 min.
Ian MacNaughton ------
 s4214  |       Movie  |                                                              Monty Python: Live at The Hollywood Bowl  |                  1982  |                R  |               80 min.
 s4782  |       Movie  |                                              Parrot Sketch Not Included: Twenty Years of Monty Python  |                  1989  |            TV-14  |               72 min.
Raman Kumar ------
 s5327  |       Movie  |                                                                                           Saath Saath  |                  1982  |            TV-14  |              118 min.
Raj N. Sippy ------
 s5406  |       Movie  |                                                                                        Satte Pe Satta  |                  1982  |            TV-14  |              153 min.
Frank Oz ------
 s6267  |       Movie  |                                                                                      The Dark Crystal  |                  1982  |               PG  |               93 min.
 s6490  |       Movie  |                                                                            The Indian in the Cupboard  |                  1995  |               PG  |               96 min.
 s6852  |       Movie  |                                                                                             The Score  |                  2001  |                R  |              124 min.
Jim Henson ------
 s6267  |       Movie  |                                                                                      The Dark Crystal  |                  1982  |               PG  |               93 min.
Bruce Gowers ------
 s1919  |       Movie  |                                                                               Eddie Murphy: Delirious  |                  1983  |            TV-MA  |               69 min.
Rajiv Mehra ------
 s1938  |       Movie  |                                                                                      Ek Jaan Hain Hum  |                  1983  |            TV-14  |              151 min.
 s5019  |       Movie  |                                                                                        Pyar Ke Do Pal  |                  1986  |            TV-14  |              153 min.
  s268  |       Movie  |                                                                                        Aakhri Adaalat  |                  1988  |            TV-14  |              148 min.
 s1268  |       Movie  |                                                                                             Chamatkar  |                  1992  |            TV-14  |              164 min.
 s5089  |       Movie  |                                                                                             Ram Jaane  |                  1995  |            TV-14  |              142 min.
Hua Shan ------
 s3659  |       Movie  |                                                                                  Little Dragon Maiden  |                  1983  |            TV-14  |               92 min.
Shyam Benegal ------
 s3901  |       Movie  |                                                                                                 Mandi  |                  1983  |            TV-MA  |              155 min.
 s7223  |       Movie  |                                                                        Trikal (Past, Present, Future)  |                  1985  |            TV-14  |              134 min.
 s7529  |       Movie  |                                                                                  Welcome to Sajjanpur  |                  2008  |            TV-14  |              131 min.
 s7533  |       Movie  |                                                                                        Well Done Abba  |                  2009  |            TV-14  |              135 min.
Shekhar Kapur ------
 s3984  |       Movie  |                                                                                                Masoom  |                  1983  |            TV-14  |              138 min.
Clarence Yiu-leung Fok ------
 s4618  |       Movie  |                                                                                    On the Wrong Track  |                  1983  |            TV-14  |               89 min.
Balu Mahendra ------
 s5337  |       Movie  |                                                                                                 Sadma  |                  1983  |            TV-14  |              137 min.
Antoni Krauze ------
 s7517  |       Movie  |                                                                                      Weather forecast  |                  1983  |            TV-MA  |               91 min.
Ramesh Talwar ------
 s1896  |       Movie  |                                                                                                Duniya  |                  1984  |            TV-14  |              170 min.
Anthony Chan ------
 s4260  |       Movie  |                                                                                            Mr. Virgin  |                  1984  |            TV-14  |               86 min.
Chia Tang ------
 s4676  |       Movie  |                                                                          Opium and the Kung Fu Master  |                  1984  |            TV-MA  |               86 min.
Wong Jing ------
 s4972  |       Movie  |                                                                                       Prince Charming  |                  1984  |            TV-14  |               93 min.
 s1836  |       Movie  |                                                                                Doubles Cause Troubles  |                  1989  |            TV-14  |               94 min.
 s1236  |       Movie  |                                                                                         Casino Tycoon  |                  1992  |            TV-MA  |              125 min.
 s1237  |       Movie  |                                                                                       Casino Tycoon 2  |                  1992  |            TV-MA  |              108 min.
 s4352  |       Movie  |                                                                          My Schoolmate, the Barbarian  |                  2001  |            TV-14  |               90 min.
 s1293  |       Movie  |                                                                                    Chasing the Dragon  |                  2017  |            TV-MA  |              129 min.
Hussein Kamal ------
 s5109  |       Movie  |                                                                                       Raya and Sakina  |                  1984  |            TV-14  |              230 min.
 s5422  |       Movie  |                                                                                     Sayed the Servant  |                  1985  |            TV-14  |              173 min.
John Milius ------
 s5135  |       Movie  |                                                                                              Red Dawn  |                  1984  |            PG-13  |              114 min.
